Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
1/7/2022,"108,43","106,01","109,34","104,56","305,34K","2,52%"
3/7/2022,"108,19","108,67","108,81","108,14",,"-0,22%"
4/7/2022,"110,40","108,17","110,77","107,25",,"2,04%"
5/7/2022,"99,50","108,80","111,45","97,43","594,22K","-9,87%"
6/7/2022,"98,53","100,36","102,14","95,10","444,11K","-0,97%"
7/7/2022,"102,73","98,22","104,48","96,57","379,86K","4,26%"
8/7/2022,"104,79","102,22","105,24","101,51","327,46K","2,01%"
11/7/2022,"104,09","104,79","105,05","100,89","348,57K","-0,67%"
12/7/2022,"95,84","103,46","103,49","95,35","398,55K","-7,93%"
13/07/2022,"96,30","95,89","97,96","93,67","347,19K","0,48%"
14/07/2022,"95,78","96,57","97,00","90,56","387,53K","-0,54%"
15/07/2022,"97,59","96,39","99,03","94,57","240,77K","1,89%"
18/07/2022,"102,60","97,27","102,80","95,85","84,67K","5,13%"
19/07/2022,"104,22","102,00","104,46","99,85","63,15K","1,58%"
20/07/2022,"102,26","103,60","104,39","101,51","28,96K","-1,88%"
21/07/2022,"96,35","99,91","99,99","94,59","318,91K","-5,78%"
22/07/2022,"94,70","96,51","97,95","94,23","307,57K","-1,71%"
25/07/2022,"96,70","95,10","96,94","93,01","279,00K","2,11%"
26/07/2022,"94,98","96,33","99,00","94,76","310,04K","-1,78%"
27/07/2022,"97,26","95,60","98,59","94,30","321,90K","2,40%"
28/07/2022,"96,42","98,17","99,84","96,04","318,40K","-0,86%"
29/07/2022,"98,62","97,30","101,88","96,41","349,37K","2,28%"
1/8/2022,"93,89","98,46","98,65","92,42","365,29K","-4,80%"
2/8/2022,"94,42","93,75","96,47","92,59","328,54K","0,56%"
3/8/2022,"90,66","93,83","96,57","90,38","395,10K","-3,98%"
4/8/2022,"88,54","90,95","91,90","87,55","334,93K","-2,34%"
5/8/2022,"89,01","88,06","90,76","87,01","350,02K","0,53%"
8/8/2022,"90,76","88,46","90,89","87,22","340,16K","1,97%"
9/8/2022,"90,50","90,69","92,65","89,05","347,05K","-0,29%"
10/8/2022,"91,93","90,51","92,43","87,66","383,77K","1,58%"
11/8/2022,"94,34","91,55","95,05","91,24","341,23K","2,62%"
12/8/2022,"92,09","94,09","94,81","91,16","264,95K","-2,38%"
15/08/2022,"89,41","91,94","92,10","86,82","275,44K","-2,91%"
16/08/2022,"86,53","87,93","90,65","85,73","305,37K","-3,22%"
17/08/2022,"88,11","87,10","89,16","85,88","230,35K","1,83%"
18/08/2022,"90,50","87,39","91,46","87,32","80,03K","2,71%"
19/08/2022,"90,77","90,39","92,09","88,38","58,71K","0,30%"
22/08/2022,"90,23","89,65","91,26","86,60","24,87K","-0,59%"
23/08/2022,"93,74","90,55","94,22","90,42","285,61K","3,89%"
24/08/2022,"94,89","93,78","95,40","92,79","320,39K","1,23%"
25/08/2022,"92,52","95,35","95,76","92,29","279,88K","-2,50%"
26/08/2022,"93,06","93,06","94,02","91,08","288,39K","0,58%"
29/08/2022,"97,01","92,96","97,37","92,29","283,46K","4,24%"
30/08/2022,"91,64","96,90","97,66","90,54","386,27K","-5,54%"
31/08/2022,"89,55","92,31","92,73","88,27","344,15K","-2,28%"
1/9/2022,"86,61","88,83","89,63","85,98","305,11K","-3,28%"
2/9/2022,"86,87","86,56","89,66","86,35","277,53K","0,30%"
4/9/2022,"88,25","86,91","88,28","86,91",,"1,59%"
5/9/2022,"88,96","88,27","90,37","87,98",,"0,80%"
6/9/2022,"86,88","86,84","90,39","86,18","420,26K","-2,34%"
7/9/2022,"81,94","86,93","87,76","81,50","380,78K","-5,69%"
